,Flow,Pathfinder,Bookseller
4o,0,2,T
4.1,1,1,T
o1,0,2,T
o1-mini,3,T,T
o3-mini,0,2,T
o4-mini,0,1,T
deepseek-v3,1,1,T
deepseek-r1,1,0,T
