trial,domain_path,provider,model,give_pred_descriptions,desc_class,feedback_pipeline,landmark_runs,val_runs,hde_runs,hde_timeout,action_timeout,action_timeout_cause,evals_passed,total_evals
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,detailed-first,validate,0,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,landmark,0,0,0,False,True,board,0,0
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,first,validate,0,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,first,validate,0,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,first,validate,0,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,first,landmark,0,0,10,True,False,,0,10
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,detailed-first,landmark,0,0,10,True,False,,0,10
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,first,landmark,0,0,0,False,True,slide-blue,0,0
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,first,landmark-validate,0,0,0,False,True,slide-blue,0,0
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,validate,0,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,detailed-first,validate,0,0,0,False,True,slide-red,0,0
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,landmark,0,0,10,True,False,,0,10
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,detailed-first,landmark-validate,0,0,0,False,True,slide-red,0,0
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,detailed-first,landmark,0,0,0,False,True,jump-blue,0,0
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,first,validate,0,1,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,first,landmark,0,0,10,True,False,,0,10
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,detailed-first,landmark,0,0,10,True,False,,0,10
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,first,landmark,8,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,landmark,0,0,0,False,True,board,0,0
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,first,validate,0,1,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,first,landmark,4,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,first,validate,0,2,10,True,False,,0,10
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,first,validate,0,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,validate,0,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,detailed-first,validate,0,1,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,first,landmark-validate,0,0,0,False,True,slide-blue,0,0
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,first,validate,0,0,0,False,True,slide-blue,0,0
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,landmark-validate,0,0,0,False,True,unloadFinal,0,0
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,first,landmark,0,0,10,True,False,,0,10
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,detailed-first,validate,0,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,first,landmark,0,0,0,False,True,start,0,0
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,validate,0,4,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,detailed-first,validate,0,2,10,True,False,,8,10
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,detailed-first,landmark,0,0,10,True,False,,0,10
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,detailed-first,landmark-validate,0,0,0,False,True,jump-blue,0,0
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,first,landmark,5,0,10,True,False,,6,10
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,first,landmark-validate,4,0,20,True,False,,10,10
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,first,validate,0,1,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,landmark-validate,0,10,20,True,False,,2,10
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,first,validate,0,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,validate,0,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,first,landmark,6,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,detailed-first,landmark,3,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,first,validate,0,1,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,landmark-validate,0,0,0,False,True,unloadFinal,0,0
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,validate,0,2,10,True,False,,7,10
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,first,landmark,0,0,0,False,True,slide-red,0,0
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,first,validate,0,0,0,False,True,slide-red,0,0
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,landmark,5,0,10,True,False,,7,10
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,detailed-first,validate,0,0,0,False,True,slide-red,0,0
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,validate,0,1,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,detailed-first,landmark,0,0,10,True,False,,0,10
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,detailed-first,landmark-validate,0,0,0,False,True,start,0,0
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,first,validate,0,1,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,first,landmark-validate,14,0,20,True,False,,10,10
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,first,landmark,5,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,landmark,2,0,10,True,False,,7,10
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,detailed-first,landmark,0,0,0,False,True,jump-blue,0,0
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,detailed-first,landmark-validate,0,0,0,False,True,jump-blue,0,0
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,detailed-first,validate,0,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,landmark,0,0,0,False,True,board,0,0
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,landmark,9,0,10,True,False,,6,10
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,validate,0,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,first,validate,0,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,detailed-first,validate,0,0,0,False,True,slide-red,0,0
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,first,landmark,0,0,0,False,True,slide-blue,0,0
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,first,validate,0,0,0,False,True,slide-blue,0,0
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,first,validate,0,1,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,landmark-validate,0,0,0,False,True,unloadFinal,0,0
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,first,landmark,6,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,detailed-first,landmark,0,0,0,False,True,slide-blue,0,0
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,first,landmark,3,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,first,landmark,9,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,first,landmark-validate,5,4,20,True,False,,6,10
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,detailed-first,landmark,0,0,10,True,False,,0,10
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,detailed-first,validate,0,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,first,validate,0,1,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,detailed-first,landmark-validate,0,0,0,False,True,jump-blue,0,0
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,first,landmark-validate,3,0,20,True,False,,0,10
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,validate,0,0,0,False,True,board,0,0
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,first,landmark,0,0,10,True,False,,0,10
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,first,landmark-validate,15,0,20,True,False,,10,10
2025-08-13_13-16-44,data/domains/flow,openai,gpt-5-nano,True,first,landmark,2,0,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/miconic,openai,gpt-5-nano,True,first,validate,0,4,10,True,False,,6,10
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,first,validate,0,1,10,True,False,,10,10
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,detailed-first,landmark,0,0,0,False,True,slide-red,0,0
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,validate,0,8,10,True,False,,7,10
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,first,landmark-validate,0,0,0,False,True,slide-red,0,0
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,detailed-first,validate,0,0,0,False,True,slide-red,0,0
2025-08-13_13-16-44,data/domains/checkers-jumping,openai,gpt-5-nano,True,first,validate,0,0,0,False,True,slide-blue,0,0
2025-08-13_13-16-44,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,validate,0,1,10,True,False,,10,10
