trial,domain_path,provider,model,give_pred_descriptions,desc_class,feedback_pipeline,landmark_runs,val_runs,hde_runs,hde_timeout,action_timeout,action_timeout_cause,evals_passed,total_evals
1,data/domains/checkers-jumping,openai,o4-mini,True,detailed-first,landmark-validate,0,0,0,False,True,jump-blue,0,0
1,data/domains/checkers-jumping,openai,o4-mini,True,first,landmark-validate,0,0,0,False,True,jump-blue,0,0
1,data/domains/hiking,openai,o4-mini,True,detailed-first,landmark-validate,8,8,10,True,False,,0,10
1,data/domains/hiking,openai,o4-mini,True,first,landmark-validate,8,8,10,True,False,,2,10
1,data/domains/hiking,openai,o4-mini,True,detailed-first,landmark-validate,8,8,10,True,False,,2,10
1,data/domains/grid,openai,o4-mini,True,first,landmark-validate,7,7,10,True,False,,5,10
1,data/domains/flow,openai,o4-mini,True,first,landmark-validate,5,5,10,True,False,,0,10
1,data/domains/miconic,openai,o4-mini,True,first,landmark-validate,8,8,10,True,False,,0,10
1,data/domains/miconic,openai,o4-mini,True,detailed-first,landmark-validate,8,8,10,True,False,,10,10
1,data/domains/blocks,openai,o4-mini,True,detailed-first,landmark-validate,7,7,10,True,False,,2,10
1,data/domains/grid,openai,o4-mini,True,detailed-first,landmark-validate,8,8,10,True,False,,10,10
1,data/domains/miconic,openai,o4-mini,True,first,landmark-validate,8,8,10,True,False,,10,10
1,data/domains/flow,openai,o4-mini,True,detailed-first,landmark-validate,8,8,10,True,False,,0,10
1,data/domains/blocks,openai,o4-mini,True,first,landmark-validate,9,9,10,True,False,,2,10
1,data/domains/blocks,openai,o4-mini,True,detailed-first,landmark-validate,9,9,10,True,False,,2,10
1,data/domains/bookseller,openai,o4-mini,True,detailed-first,landmark-validate,5,5,10,True,False,,2,10
1,data/domains/grid,openai,o4-mini,True,detailed-first,landmark-validate,8,8,10,True,False,,10,10
1,data/domains/bookseller,openai,o4-mini,True,first,landmark-validate,6,6,10,True,False,,10,10
1,data/domains/blocks,openai,o4-mini,True,first,landmark-validate,8,8,10,True,False,,2,10
1,data/domains/hiking,openai,o4-mini,True,first,landmark-validate,8,8,10,True,False,,0,10
1,data/domains/miconic,openai,o4-mini,True,detailed-first,landmark-validate,8,8,10,True,False,,10,10
1,data/domains/flow,openai,o4-mini,True,detailed-first,landmark-validate,8,8,10,True,False,,2,10
1,data/domains/bookseller,openai,o4-mini,True,detailed-first,landmark-validate,5,5,10,True,False,,2,10
1,data/domains/bookseller,openai,o4-mini,True,first,landmark-validate,5,5,10,True,False,,6,10
