trial,domain_path,provider,model,give_pred_descriptions,desc_class,feedback_pipeline,landmark_runs,val_runs,hde_runs,hde_timeout,action_timeout,action_timeout_cause,evals_passed,total_evals
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,4,3,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,9,5,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,1,1,10,True,False,,9,10
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,6,5,10,True,False,,0,10
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,4,9,10,True,False,,0,10
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,3,2,4,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,0,1,2,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,0,0,0,False,False,,0,0
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,5,3,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,5,8,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,9,5,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,4,4,10,True,False,,0,10
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,6,5,10,True,False,,0,10
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,4,3,8,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,9,5,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,4,5,10,True,False,,0,10
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,4,9,10,True,False,,0,10
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,1,1,1,False,False,,10,10
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,3,5,10,True,False,,0,10
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,4,5,10,True,False,,1,10
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,3,3,5,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,2,False,False,,0,0
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,8,5,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,8,5,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,9,5,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,5,5,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,4,5,10,True,False,,0,10
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,3,3,10,True,False,,9,10
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,0,1,2,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,1,3,3,False,False,,0,0
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,1,2,3,False,False,,0,0
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,8,5,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,7,5,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,9,5,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,5,5,10,True,False,,0,10
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,5,5,10,True,False,,1,10
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,0,1,4,False,False,,0,0
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,2,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,0,1,2,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,2,False,False,,0,0
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,0,0,0,False,True,slide-blue,0,0
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,4,3,10,True,False,,0,10
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,8,5,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,5,3,10,True,False,,0,10
