trial,domain_path,provider,model,give_pred_descriptions,desc_class,feedback_pipeline,landmark_runs,val_runs,hde_runs,hde_timeout,action_timeout,action_timeout_cause,evals_passed,total_evals
2,data/domains/grid,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,0,0,False,True,drop,0,0
1,data/domains/grid,openai,gpt-4o-mini,True,detailed-first,validate,0,0,0,False,True,drop,0,0
1,data/domains/grid,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,0,0,False,True,move,0,0
1,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,0,0,0,False,True,slide-red,0,0
2,data/domains/grid,openai,gpt-4o-mini,True,detailed-first,validate,0,0,0,False,True,move,0,0
1,data/domains/hiking,openai,gpt-4o-mini,True,first,validate,8,8,10,True,False,,0,10
1,data/domains/hiking,openai,gpt-4o-mini,True,detailed-first,validate,7,7,10,True,False,,0,10
1,data/domains/hiking,openai,gpt-4o-mini,True,first,landmark,8,8,10,True,False,,0,10
1,data/domains/hiking,openai,gpt-4o-mini,True,first,landmark-validate,6,6,10,True,False,,0,10
1,data/domains/hiking,openai,gpt-4o-mini,True,detailed-first,landmark,6,6,10,True,False,,0,10
2,data/domains/hiking,openai,gpt-4o-mini,True,first,landmark,6,6,10,True,False,,0,10
1,data/domains/hiking,openai,gpt-4o-mini,True,detailed-first,landmark-validate,7,7,10,True,False,,0,10
2,data/domains/hiking,openai,gpt-4o-mini,True,first,validate,0,0,10,True,False,,0,10
1,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark,5,5,10,True,False,,2,10
1,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,validate,6,6,10,True,False,,0,10
1,data/domains/flow,openai,gpt-4o-mini,True,first,validate,8,8,10,True,False,,0,10
1,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,9,9,10,True,False,,2,10
2,data/domains/hiking,openai,gpt-4o-mini,True,first,landmark-validate,8,8,10,True,False,,0,10
1,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark,5,5,10,True,False,,0,10
2,data/domains/hiking,openai,gpt-4o-mini,True,detailed-first,validate,8,8,10,True,False,,0,10
1,data/domains/blocks,openai,gpt-4o-mini,True,first,validate,8,8,10,True,False,,2,10
2,data/domains/hiking,openai,gpt-4o-mini,True,detailed-first,landmark-validate,6,6,10,True,False,,0,10
1,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,validate,7,7,10,True,False,,10,10
2,data/domains/hiking,openai,gpt-4o-mini,True,detailed-first,landmark,6,6,10,True,False,,0,10
1,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,7,7,10,True,False,,0,10
1,data/domains/miconic,openai,gpt-4o-mini,True,first,validate,8,8,10,True,False,,10,10
1,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark,7,7,10,True,False,,10,10
1,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark,6,6,10,True,False,,10,10
1,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,5,5,10,True,False,,0,10
1,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,5,5,10,True,False,,0,10
1,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,7,7,10,True,False,,10,10
1,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,validate,8,8,10,True,False,,0,10
1,data/domains/flow,openai,gpt-4o-mini,True,first,landmark,8,8,10,True,False,,0,10
2,data/domains/grid,openai,gpt-4o-mini,True,first,validate,6,6,10,True,False,,10,10
1,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,5,5,10,True,False,,0,10
1,data/domains/grid,openai,gpt-4o-mini,True,first,validate,6,6,10,True,False,,10,10
2,data/domains/grid,openai,gpt-4o-mini,True,detailed-first,landmark,7,7,10,True,False,,0,10
1,data/domains/grid,openai,gpt-4o-mini,True,first,landmark-validate,6,6,10,True,False,,10,10
2,data/domains/grid,openai,gpt-4o-mini,True,first,landmark-validate,5,5,10,True,False,,10,10
1,data/domains/grid,openai,gpt-4o-mini,True,detailed-first,landmark,5,5,10,True,False,,0,10
2,data/domains/flow,openai,gpt-4o-mini,True,first,landmark,7,7,10,True,False,,0,10
2,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,0,0,0,False,True,slide-red,0,0
1,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark,7,7,10,True,False,,0,10
2,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,validate,0,0,0,False,True,slide-red,0,0
1,data/domains/grid,openai,gpt-4o-mini,True,first,landmark,5,5,10,True,False,,10,10
2,data/domains/grid,openai,gpt-4o-mini,True,first,landmark,7,7,10,True,False,,10,10
1,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,validate,8,8,10,True,False,,0,10
1,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,3,3,10,True,False,,0,10
1,data/domains/bookseller,openai,gpt-4o-mini,True,first,validate,8,8,10,True,False,,10,10
1,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark,7,7,10,True,False,,0,10
3,data/domains/grid,openai,gpt-4o-mini,True,detailed-first,validate,0,0,0,False,True,move,0,0
3,data/domains/grid,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,0,0,False,True,move,0,0
1,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,validate,8,8,10,True,False,,0,10
1,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,validate,8,8,10,True,False,,10,10
1,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark,8,8,10,True,False,,0,10
2,data/domains/blocks,openai,gpt-4o-mini,True,first,validate,9,9,10,True,False,,0,10
1,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark,7,7,10,True,False,,0,10
2,data/domains/flow,openai,gpt-4o-mini,True,first,validate,7,7,10,True,False,,0,10
2,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark,8,8,10,True,False,,0,10
1,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark,6,6,10,True,False,,4,10
1,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,8,8,10,True,False,,10,10
2,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,5,5,10,True,False,,0,10
2,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark,5,5,10,True,False,,0,10
2,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,5,5,10,True,False,,0,10
2,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,validate,6,6,10,True,False,,0,10
2,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,validate,8,8,10,True,False,,0,10
2,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark,5,5,10,True,False,,10,10
2,data/domains/miconic,openai,gpt-4o-mini,True,first,validate,8,8,10,True,False,,10,10
3,data/domains/hiking,openai,gpt-4o-mini,True,first,landmark,4,4,10,True,False,,0,10
3,data/domains/hiking,openai,gpt-4o-mini,True,first,validate,8,8,10,True,False,,0,10
2,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,6,6,10,True,False,,2,10
3,data/domains/hiking,openai,gpt-4o-mini,True,first,landmark-validate,7,7,10,True,False,,0,10
3,data/domains/hiking,openai,gpt-4o-mini,True,detailed-first,validate,6,6,10,True,False,,0,10
2,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,7,7,10,True,False,,2,10
2,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark,7,7,10,True,False,,0,10
2,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,validate,4,4,10,True,False,,10,10
2,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,6,6,10,True,False,,10,10
3,data/domains/hiking,openai,gpt-4o-mini,True,detailed-first,landmark-validate,6,6,10,True,False,,0,10
2,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,6,6,10,True,False,,10,10
1,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,8,8,10,True,False,,10,10
3,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark,0,0,0,False,True,slide-red,0,0
2,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark,6,6,10,True,False,,0,10
3,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,0,0,0,False,True,slide-red,0,0
3,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,validate,0,0,0,False,True,slide-red,0,0
3,data/domains/flow,openai,gpt-4o-mini,True,first,landmark,8,8,10,True,False,,0,10
3,data/domains/grid,openai,gpt-4o-mini,True,first,validate,7,7,10,True,False,,0,10
3,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,0,0,False,True,jump-red,0,0
3,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark,8,8,10,True,False,,0,10
3,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark,8,8,10,True,False,,0,10
3,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,validate,7,7,10,True,False,,2,10
3,data/domains/grid,openai,gpt-4o-mini,True,first,landmark,6,6,10,True,False,,0,10
3,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,6,6,10,True,False,,0,10
3,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,7,7,10,True,False,,2,10
3,data/domains/flow,openai,gpt-4o-mini,True,first,validate,8,8,10,True,False,,0,10
2,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark,7,7,10,True,False,,0,10
2,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,8,8,10,True,False,,10,10
2,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark,7,7,10,True,False,,0,10
2,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,8,8,10,True,False,,0,10
3,data/domains/grid,openai,gpt-4o-mini,True,first,landmark-validate,5,5,10,True,False,,0,10
3,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,validate,7,7,10,True,False,,0,10
3,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,6,6,10,True,False,,0,10
2,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,validate,7,7,10,True,False,,0,10
2,data/domains/bookseller,openai,gpt-4o-mini,True,first,validate,8,8,10,True,False,,0,10
2,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,validate,8,8,10,True,False,,10,10
3,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark,6,6,10,True,False,,10,10
3,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark,8,8,10,True,False,,0,10
3,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,7,7,10,True,False,,10,10
3,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,validate,7,7,10,True,False,,10,10
2,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,2,2,10,True,False,,0,10
3,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark,7,7,10,True,False,,10,10
3,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,8,8,10,True,False,,10,10
2,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark,8,8,10,True,False,,0,10
3,data/domains/blocks,openai,gpt-4o-mini,True,first,validate,0,0,10,True,False,,0,10
3,data/domains/grid,openai,gpt-4o-mini,True,detailed-first,landmark,4,4,10,True,False,,0,10
2,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark,8,8,10,True,False,,10,10
3,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,6,6,10,True,False,,0,10
3,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,8,8,10,True,False,,0,10
3,data/domains/miconic,openai,gpt-4o-mini,True,first,validate,8,8,10,True,False,,10,10
3,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,validate,8,8,10,True,False,,0,10
3,data/domains/bookseller,openai,gpt-4o-mini,True,first,validate,8,8,10,True,False,,10,10
3,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,validate,8,8,10,True,False,,10,10
3,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark,6,6,10,True,False,,0,10
3,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark,5,5,10,True,False,,4,10
3,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark,8,8,10,True,False,,10,10
3,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,8,8,10,True,False,,10,10
